Translation,Card text
area,пространство земли
bast production,делание рогож
beekeeping,пчеловодство
black earth,черноземная
canvas for sailing,парусное полотно
cattle farming,скотоводство
chalk extraction,ломка мелу
"changeable, variable",переменный
clay,глинистая
climate,климат
cloth,суконный
coal mining,добытие каменного угла
coat of arms,герб
cold,холодный
copper smelting factory,медиплавные заводы
cotton / cloth,"суконные, сукно"
craft production,"рукоделие, делание посуды/колес/гвоздей/перчаток, выделка шляп, и.т.д."
crop farming,хлебопащество
damp,влажный
damp,сырой
"distilling, alcohol production",винокурение
factories,"заводы, фабрики"
fairs,ярмарки
favorable,благоприятный
favorable,благорастворенный
fertile,плодородная
fishing,рыболовство
flax cultivation,лен
forest(s),лес/леса
forestry,лесоводство
fortress,крепость
foundry,литейный завод
gardening,садоводство
glass production,стекляный завод
"grain, bread",хлеб
granite,гранитный
harbor,гавань
hard,твердый
harsh,суровой
"healthy, healthful",здоровый
hemp,"пенька, конопля"
hops,хмель
horse farming,коннозаводство
hunting,"охота, звероловство"
inconvenient,неудобная
iron,железо/железный
lake,озеро
leather,"кож, кожевенный"
lime,известка
linen,полотняный/полотно
loamy,суглинистая
loose sand,сыпучий песок
madder,марена
mammoth bones,мамонтовые кости
marls,мергели
marsh,болото
marshy,болотистая
mining,"добыча [], горные промыслы"
ocean,океан
oil extraction,добывание нефти
orchardry,садоводство
paper production,бумагопрядильный/бумажный завод
pine nut oil,масло из кедровых орехов
pitch,смола
pleasant,приятный
population,население
porcelain,фарфор
potash,поташ
province,губерния
quarrying,плитная ломка
ridge,хребет
river,река
salt lakes,соляные озера
sandstone,песчаник
sandy,песчаная
sandy-clay,песчано-глинистая
sandy-silty,песчаноиловат
sea,море
sericulture (mulberry trees),шелковичные сады
sheep farming,овцеводство
shipbuilding,"судостроение, строение барков"
shipping,судоходство
silk manufacturing,щелководство
soil,почва
special features,особенности
stable,постоянный
stony,каменистая
sugar manufacturing,"свеклосахарный завод, делание сахара из свекловицы"
temperate,умеренный
timber felling/trade,сбыт/сплав леса
tobacco,табака
trade,торговля
"unstable, changeable",непостоянный
varied,разнообразная
viticulture,виноградники
volcanoes,вулканы
walrus teeth,моржовые зубы
warm,теплый
weapons manufacturing,оружейный завод
wheat,пщеница
winemaking,виноделие